1470054683806: 	action	draw	path-1470054649658	{"x":283,"y":595}
1470054683814: 	action	draw	path-1470054649658	{"x":284,"y":597}
1470054683824: 	action	draw	path-1470054649658	{"x":284,"y":600}
1470054683832: 	action	draw	path-1470054649658	{"x":284,"y":602}
1470054683840: 	action	draw	path-1470054649658	{"x":284,"y":603}
1470054683849: 	action	draw	path-1470054649658	{"x":285,"y":605}
1470054683857: 	action	draw	path-1470054649658	{"x":285,"y":607}
1470054683865: 	action	draw	path-1470054649658	{"x":285,"y":608}
1470054683873: 	action	draw	path-1470054649658	{"x":285,"y":610}
1470054683891: 	action	draw	path-1470054649658	{"x":285,"y":611}
1470054683908: 	action	draw	path-1470054649658	{"x":285,"y":612}
1470054684216: 	action	draw	content	{"x":275,"y":574}
1470054684290: 	action	draw	content	{"x":270,"y":558}
1470054684298: 	action	draw	content	{"x":270,"y":556}
1470054684306: 	action	draw	content	{"x":269,"y":553}
1470054684315: 	action	draw	content	{"x":269,"y":550}
1470054684323: 	action	draw	content	{"x":269,"y":545}
1470054684332: 	action	draw	content	{"x":269,"y":541}
1470054684339: 	action	draw	content	{"x":269,"y":538}
1470054684349: 	action	draw	content	{"x":269,"y":535}
1470054684356: 	action	draw	content	{"x":270,"y":534}
1470054684364: 	action	draw	content	{"x":270,"y":531}
1470054684374: 	action	draw	content	{"x":270,"y":529}
1470054684390: 	action	draw	content	{"x":270,"y":528}
1470054684415: 	action	draw	content	{"x":270,"y":527}
1470054684499: 	action	draw	content	{"x":270,"y":528}
1470054684515: 	action	draw	content	{"x":271,"y":529}
1470054685133: 	action	draw	content	{"x":310,"y":428}
1470054685239: 	action	draw	content	{"x":309,"y":445}
1470054685256: 	action	draw	content	{"x":309,"y":451}
1470054685267: 	action	draw	content	{"x":310,"y":455}
1470054685279: 	action	draw	content	{"x":311,"y":459}
1470054685291: 	action	draw	content	{"x":312,"y":466}
1470054685298: 	action	draw	content	{"x":312,"y":470}
1470054685311: 	action	draw	content	{"x":313,"y":475}
1470054685323: 	action	draw	content	{"x":314,"y":482}
1470054685330: 	action	draw	content	{"x":314,"y":485}
1470054685338: 	action	draw	content	{"x":314,"y":489}
1470054685347: 	action	draw	content	{"x":315,"y":492}
1470054685355: 	action	draw	content	{"x":315,"y":494}
1470054685374: 	action	draw	content	{"x":316,"y":499}
1470054685380: 	action	draw	content	{"x":316,"y":500}
1470054685392: 	action	draw	content	{"x":317,"y":502}
1470054685398: 	action	draw	content	{"x":317,"y":504}
1470054685405: 	action	draw	content	{"x":317,"y":505}
1470054685414: 	action	draw	content	{"x":317,"y":506}
1470054685422: 	action	draw	content	{"x":317,"y":507}
1470054685439: 	action	draw	content	{"x":317,"y":508}
1470054685455: 	action	draw	content	{"x":317,"y":509}
1470054695543: 	action	draw	image-56	{"x":88,"y":142}
1470054695657: 	action	draw	image-56	{"x":73,"y":139}
1470054695663: 	action	draw	image-56	{"x":71,"y":139}
1470054695672: 	action	draw	image-56	{"x":70,"y":139}
1470054695681: 	action	draw	image-56	{"x":69,"y":139}
1470054695690: 	action	draw	image-56	{"x":68,"y":139}
1470054695698: 	action	draw	image-56	{"x":67,"y":139}
1470054695714: 	action	draw	image-56	{"x":65,"y":139}
1470054695718: 	action	draw	image-56	{"x":64,"y":140}
1470054695723: 	action	draw	image-56	{"x":62,"y":141}
1470054695731: 	action	draw	image-56	{"x":61,"y":142}
1470054695739: 	action	draw	image-56	{"x":60,"y":143}
1470054695748: 	action	draw	image-56	{"x":58,"y":145}
1470054695756: 	action	draw	image-56	{"x":57,"y":147}
1470054695764: 	action	draw	image-56	{"x":56,"y":149}
1470054695772: 	action	draw	image-56	{"x":55,"y":150}
1470054695784: 	action	draw	image-56	{"x":54,"y":150}
1470054695789: 	action	draw	image-56	{"x":53,"y":150}
1470054695798: 	action	draw	image-56	{"x":52,"y":150}
1470054695806: 	action	draw	image-56	{"x":52,"y":150}
1470054695814: 	action	draw	image-56	{"x":52,"y":150}
