1470648328275: 	acted on	menu
1470648329614: 	acted on	innerText
1470648329764: 	sub-instrument	start	draw	true
1470648329766: 	activate	draw
1470648332690: 	acted on	sample
1470648398322: 	draw	image-37	{"x":91,"y":26}
1470648398338: 	draw	image-37	{"x":92,"y":26}
1470648398347: 	draw	image-37	{"x":93,"y":27}
1470648398364: 	draw	image-37	{"x":94,"y":27}
1470648398373: 	draw	image-37	{"x":95,"y":27}
1470648398382: 	draw	image-37	{"x":96,"y":27}
1470648398390: 	draw	image-37	{"x":96,"y":28}
1470648398398: 	draw	image-37	{"x":97,"y":28}
1470648398406: 	draw	image-37	{"x":98,"y":28}
1470648398423: 	draw	image-37	{"x":99,"y":29}
1470648398448: 	draw	image-37	{"x":100,"y":29}
1470648398455: 	draw	image-37	{"x":101,"y":30}
1470648398478: 	draw	image-37	{"x":102,"y":30}
1470648398490: 	draw	image-37	{"x":103,"y":31}
1470648398525: 	draw	image-37	{"x":104,"y":32}
1470648398549: 	draw	image-37	{"x":105,"y":33}
1470648398564: 	draw	image-37	{"x":107,"y":34}
1470648398581: 	draw	image-37	{"x":107,"y":35}
1470648398598: 	draw	image-37	{"x":109,"y":36}
1470648398615: 	draw	image-37	{"x":110,"y":37}
1470648398647: 	draw	image-37	{"x":110,"y":38}
1470648398674: 	draw	image-37	{"x":112,"y":39}
1470648398698: 	draw	image-37	{"x":113,"y":41}
1470648398715: 	draw	image-37	{"x":113,"y":42}
1470648398731: 	draw	image-37	{"x":114,"y":43}
1470648398748: 	draw	image-37	{"x":115,"y":43}
1470648398772: 	draw	image-37	{"x":116,"y":44}
1470648398783: 	draw	image-37	{"x":116,"y":45}
1470648398798: 	draw	image-37	{"x":117,"y":46}
1470648398815: 	draw	image-37	{"x":117,"y":47}
1470648398839: 	draw	image-37	{"x":118,"y":48}
1470648398855: 	draw	image-37	{"x":119,"y":49}
1470648398881: 	draw	image-37	{"x":119,"y":50}
1470648398889: 	draw	image-37	{"x":120,"y":50}
1470648398898: 	draw	image-37	{"x":120,"y":51}
1470648398916: 	draw	image-37	{"x":120,"y":52}
1470648398939: 	draw	image-37	{"x":121,"y":53}
1470648398948: 	draw	image-37	{"x":121,"y":54}
1470648398973: 	draw	image-37	{"x":121,"y":55}
1470648398997: 	draw	image-37	{"x":122,"y":56}
1470648399005: 	draw	image-37	{"x":122,"y":57}
1470648399030: 	draw	image-37	{"x":123,"y":58}
1470648399039: 	draw	image-37	{"x":123,"y":59}
1470648399064: 	draw	image-37	{"x":123,"y":60}
1470648399081: 	draw	image-37	{"x":124,"y":61}
1470648399098: 	draw	image-37	{"x":124,"y":62}
1470648399115: 	draw	image-37	{"x":124,"y":63}
1470648399131: 	draw	image-37	{"x":124,"y":64}
1470648399156: 	draw	image-37	{"x":125,"y":66}
1470648399173: 	draw	image-37	{"x":125,"y":67}
1470648399190: 	draw	image-37	{"x":125,"y":68}
1470648399206: 	draw	image-37	{"x":126,"y":69}
1470648399225: 	draw	image-37	{"x":126,"y":70}
1470648399240: 	draw	image-37	{"x":126,"y":71}
1470648399273: 	draw	image-37	{"x":127,"y":73}
1470648399290: 	draw	image-37	{"x":127,"y":74}
1470648399322: 	draw	image-37	{"x":127,"y":76}
1470648399330: 	draw	image-37	{"x":127,"y":77}
1470648399347: 	draw	image-37	{"x":127,"y":78}
1470648399380: 	draw	image-37	{"x":127,"y":80}
1470648399406: 	draw	image-37	{"x":126,"y":83}
1470648399422: 	draw	image-37	{"x":126,"y":85}
1470648399439: 	draw	image-37	{"x":125,"y":87}
1470648399454: 	draw	image-37	{"x":125,"y":88}
1470648399472: 	draw	image-37	{"x":125,"y":89}
1470648399489: 	draw	image-37	{"x":124,"y":91}
1470648399505: 	draw	image-37	{"x":124,"y":92}
1470648399539: 	draw	image-37	{"x":123,"y":94}
1470648399580: 	draw	image-37	{"x":123,"y":96}
1470648399596: 	draw	image-37	{"x":123,"y":97}
1470648399615: 	draw	image-37	{"x":122,"y":98}
1470648399629: 	draw	image-37	{"x":122,"y":99}
1470648399647: 	draw	image-37	{"x":121,"y":99}
1470648399664: 	draw	image-37	{"x":121,"y":100}
1470648399680: 	draw	image-37	{"x":120,"y":100}
1470648399714: 	draw	image-37	{"x":119,"y":102}
1470648399731: 	draw	image-37	{"x":119,"y":103}
1470648399748: 	draw	image-37	{"x":118,"y":103}
1470648399764: 	draw	image-37	{"x":118,"y":104}
1470648399780: 	draw	image-37	{"x":117,"y":105}
1470648399797: 	draw	image-37	{"x":116,"y":105}
1470648399822: 	draw	image-37	{"x":115,"y":107}
1470648399840: 	draw	image-37	{"x":114,"y":108}
1470648399854: 	draw	image-37	{"x":113,"y":108}
1470648399864: 	draw	image-37	{"x":113,"y":109}
1470648399872: 	draw	image-37	{"x":112,"y":109}
1470648399888: 	draw	image-37	{"x":111,"y":110}
1470648399905: 	draw	image-37	{"x":110,"y":111}
1470648399922: 	draw	image-37	{"x":109,"y":112}
1470648399940: 	draw	image-37	{"x":108,"y":113}
1470648399964: 	draw	image-37	{"x":107,"y":114}
1470648399980: 	draw	image-37	{"x":106,"y":115}
